贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
OFCPDiSVE,吕宁思,True,853357,609768,#俄乌局势观察团# 拜登要大干一场？加紧对乌军援，泽连斯基游说目标转向特朗普#v评智库# #微博新知# http://t.cn/A6nYm10H ,俄乌局势观察团/v评智库/微博新知,吕宁思的微博视频
Ofhrmuxqr,寰亚SYHP,True,1959433,61205593,#拜登声称以色列所做的不是种族灭绝# 拜登为以色列在加沙的行为辩解声称：以色列所做的不是种族灭绝。  拜登，让我明确一点，我们拒绝国际刑事法院针对以色列领导人提出的逮捕令申请。 无论这些逮捕令意味着什么，以色列和哈马斯之间没有任何可比性。 很明显，以色列希望尽其所能确保对平民的保护。   ,拜登声称以色列所做的不是种族灭绝/以色列总理涉嫌战争罪被申请逮捕令,寰亚SYHP的微博视频
OFT5m76bP,困难挡不住精神,False,149641,1249552,川普认命Stephen Miller将被任命为副幕僚长，主管政策！ 高智商猛人，有坚定立场，看来川普选择内阁成员把忠诚放第一位了  Stephen Miller在21年成立美国优先律所（AFL），对拜登政府的若干非法政策进行了起诉，多次取得重大胜利！有影响力的官司如下：  📳大规模特赦诉讼： 美国劳工联合会与得克萨 ,,困难挡不住精神的微博视频
P42wWh1UO,看看新闻KNEWS,True,15787913,87207564,【拜登：#美国政府将与叙各派就过渡进程进行接触#】#特朗普称美国不应介入叙利亚局势# 美国总统拜登12月8日表示，美国政府将与叙利亚各派别接触，参与由联合国主导的叙利亚过渡进程。拜登当天在白宫罗斯福厅就涉叙利亚政策发表讲话说，美国政府在叙政府过渡阶段支持约旦、黎巴嫩、伊拉克和以色列等叙邻 ,美国政府将与叙各派就过渡进程进行接触/特朗普称美国不应介入叙利亚局势,看看新闻KNEWS的微博视频
P92sQF2PO,毽客逆风飞扬,True,331926,2216947,#毽客视线#1月9日，泽伦斯基在德国拉姆斯泰因峰会上表示：“我会尽一切努力（尽我所能），让乌克兰和整个欧洲在今年有尊严地结束这场战争……”。拉姆施泰因联络小组会议原本拜登将会参加，但因故取消，因此这次会议也延宕许久。除了会议本身的延期外，这次会议将反映出美国对乌克兰的支持是否坚定，以 ,毽客视线/俄乌战争,毽客逆风飞扬的微博视频
P8WYv2PSW,北京日报,True,10944020,55272107,#政治游戏救不了洛杉矶山火#【#口水仗灭不了加州年年的山火#】美国加州山火还在肆虐。#加州山火被曝灭火率为0#   短短几日，数千栋建筑损毁，至少7人死亡，多人重伤，超过18万人被迫撤离。总统之子的豪宅被烧为平地，“星爵”“蝙蝠侠”也只能眼睁睁看着自家院子化为灰烬……浓烟笼罩、满目狼藉，不少 ,政治游戏救不了洛杉矶山火/口水仗灭不了加州年年的山火/加州山火被曝灭火率为0,北京日报的微博视频
OfIAqDLYR,常岩CY,True,1419685,1517571,马斯克表示：当拜登宣布要对中国电动汽车征收关税时，我感到很惊讶。  马斯克说，特斯拉在中国也没有被征收额外关税，但是也竞争的很好。  但他也不想表现的倾向中国，他再次强调，他一直的主张的，不对任何动力形式的汽车，包括电动车和燃油车，设置任何额外关税和补贴。 http://t.cn/A6HKVeyw ,,常岩CY的微博视频
OgVWI9HXv,寰亚SYHP,True,1959433,61205593,拜登戴头盔🪖忘记解扣，引来众人欢笑。 http://t.cn/A6HH6JwO ,,寰亚SYHP的微博视频
OEga1osAR,封面新闻,True,33742070,331857751,【梳理拜登政府执政成绩单：两位候选人#哈里斯和特朗普谁能做得更不坏#？】#零基础看懂美国大选# 四年前顶着搞“大基建”帽子登场的拜登，最终无奈“退选”。但拜登政府四年的执政，对美国乃至全球经济和局势都造成了不可逆的影响。面对这一地鸡毛，两位总统候选人哈里斯和特朗普都在电视辩论、集会上 ,哈里斯和特朗普谁能做得更不坏/零基础看懂美国大选/美国大选,封面新闻的微博视频
P0vzGmoqy,育晴烟雨,True,200348,2305586,据纽约时报报道，当地时间11月13日，美国前任和未来的第一夫人梅拉尼亚特朗普拒绝了现任第一夫人吉尔拜登的邀请，即邀请梅拉尼亚前往白宫喝茶并参观行政官邸。报道称，这一决定打破了几十年来的传统[哈哈] 在白宫住了四年啥没用过， 还用喝茶？ 坚持几个月又入驻白宫了！白宫，她比你熟[挤眼]  ,,育晴烟雨的微博视频
P8Pnx5IVv,言軍,True,3548897,10933709,不仅好莱坞，Studio City也开始大火了！   这些都是洛杉矶的核心地带，拜登居然没有为此感到着急，反而宣布他当上了曾祖父[裂开] http://t.cn/A6uQiG0P ,,金华磊哥的微博视频
P8kENgg76,兵道之魂,True,305199,1325234,#美承认俄乌冲突前秘密向乌克兰提供大量武器#近日，美国国务卿布林肯接受美国《纽约时报》专访，就阿富汗战争、俄乌冲突、巴以冲突等热点问题回答记者问题。 在这一题为《布林肯坚称他和拜登作出了正确决定》的专访中，布林肯证实，“因为预判到了冲突的爆发”，所以早在2022年2月俄乌冲突爆发前几个月 ,美承认俄乌冲突前秘密向乌克兰提供大量武器/美国承认曾向乌提供大批军事援助,兵道之魂的微博视频
P96Ga04OO,仰望弗洛伊德,True,192089,726606,蔡正元博士：可以确定美国的长期战略就是拖垮中国的政治制度！  #我给拜登打了5个电话但没通##特朗普妄言对中国商品加征10%关税##美国名媛山火后回家发现只剩门框##特朗普发地图将加拿大标为美国# http://t.cn/A6unqIs7 ,我给拜登打了5个电话但没通/特朗普妄言对中国商品加征10%关税/美国名媛山火后回家发现只剩门框/特朗普发地图将加拿大标为美国,仰望弗洛伊德的微博视频
P7FH6xfz0,童鞋的利剑_777,False,221343,1042587,，媒～体从未报道过假拜登登上整架飞机的场景。只有飞机最前部的部分是他穿过门的部分。假拜登周围的每个人都是演员。你注意到军人在楼梯底部向拜登敬礼的速度有多慢吗？这架部分飞机是某处室外舞台的一部分。🎥🎥🎥 http://t.cn/A6uaRgci ,,童鞋的利剑_777的微博视频
P9p1m6ati,宋忠平,True,10539341,2920951,马斯克质疑自然原因所致，加州州长邀特朗普参与救援，拜登很悲催#烽火问鼎计划# http://t.cn/A6u3mGYS ,烽火问鼎计划,宋忠平的微博视频
OgYNoEA81,Melody欧美音乐台,True,217056,7891224,OMG！💥 痴心粉丝拜登重现流行女帝布兰妮的病毒式memes，以回应特朗普的有罪判决!!!!💥 💥 💥 💥 🔥  真是总统中的总统，粉丝中的粉丝！！💥 💥 💥拜登也是死忠粉一头了，谁不爱布兰妮呀？💅 http://t.cn/A6HHrDvJ ,,Melody欧美音乐台的微博视频
OgND1DzL8,无心简影,True,1582938,63352620,纽约法院外，又一名川粉泪流满面地说特朗普是“我一生中唯一为我挺身而出的人”，并对拜登破口大骂。  #特朗普成美国史上首位被判有罪前总统# http://t.cn/A6HYdHbd ,特朗普成美国史上首位被判有罪前总统,无心简影的微博视频
P81BDiyQA,两仪生麻瓜,True,252401,2261377,#特朗普不满宣誓就职时美国降半旗# 总统先生，好成熟的孩子  拜登确实过份了，之前支持特朗普都是做做样子，还是降半旗是做做样子。  前总统卡特去世，拜登来了个降半旗30天以示纪念。把特朗普1.20后的宣誓就职仪式也给搞成半旗。  特朗普：“民主党觉得这可太好了，这让他们高兴极了。没人想看到这样 ,特朗普不满宣誓就职时美国降半旗,两仪生麻瓜的微博视频
OF12g8ssl,阿宁很优秀_,True,1308799,31559986,拜登移除特朗普的“可乐按钮”#特朗普正式宣布获胜# http://t.cn/A6nNqCox ,特朗普正式宣布获胜,阿宁很优秀_的微博视频
P4bskd1FL,世面,True,6569282,44503196,【#泽连斯基称目前找特朗普没意义# 有事还得找拜登】12月9日，泽连斯基称与特朗普讨论邀请乌克兰加入北约“没有意义”，会尽快致电拜登。当日，乌克兰总统泽连斯基与德国最大在野党主席弗里德里希·默茨会晤。泽连斯基称，特朗普还没有入主白宫，现在说的还不算。据报道，泽连斯基此前坚持实施所谓“和 ,泽连斯基称目前找特朗普没意义,世面的微博视频
P8WH3iggW,续写蓝精灵的故事,True,154972,635673,#拜登承认加州山火中消防栓缺水#美国加州山火肆虐，洛杉矶市长几个月前才削消防预算，许多消防栓里竟没有水……网友:所以没水是正常现象啊！💰都用去支援乌克兰了，救啥火啊[挖鼻]#美国山火# http://t.cn/A6uRMX8F ,拜登承认加州山火中消防栓缺水/美国山火,续写蓝精灵的故事的微博视频
P0yF8cZnk,参考消息,True,24515457,38202770,#拜登说妻子看我要失控时想给我送太空#【美国总统拜登：每次我妻子觉得我快失控时 都想给我送上太空】据美媒报道，11月15日，美国总统拜登在秘鲁参加一场活动时开玩笑称，  “每次我妻子觉得我要失控时，她都会说，我要给他打电话，让他把你送去太空”。 http://t.cn/A6nBtkNr ,拜登说妻子看我要失控时想给我送太空,参考消息的微博视频
P1erdykcR,不止是飞行,True,158813,537739,#加沙停火决议再遭美国一票否决# 安理会加沙停火决议再遭美国一票否决：14票赞成，美国1票反对。本轮巴以冲突爆发以来，美国已6次行使否决权，其中5次阻拦加沙停火！看来拜登铁了心要把以色列烂摊子摔给特朗普了！  联合国安理会对加沙停火决议进行表决。10个非常任理事国提出的决议，内容包括各方立即 ,加沙停火决议再遭美国一票否决,不止是飞行的微博视频
P18HCt95Q,今日俄罗斯RT,True,1968242,24558801,【#用长焦镜头寻找拜登去哪儿了#】当地时间11月18日，在巴西里约热内卢二十国集团领导人峰会（G20峰会）期间，美国总统拜登缺席了G20“全家福”合影。现在让我们用“记者视角”，一起在偌大的场地上用长焦镜头再次找找拜登吧！  视频显示，记者一开始在拍摄各国领导准备合照的画面，随后发现拜登不在画 ,用长焦镜头寻找拜登去哪儿了,今日俄罗斯RT的微博视频
P0Fsx37RH,央视军事,True,5129775,42734807,#习主席秘鲁巴西之行##中美元首会见现场#【独家视频 | #习近平会见美国总统拜登#】当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。  习近平指出，很高兴再次同拜登总统先生见面。过去4年，中美关系虽然历经跌宕起伏，但在我们两人领航把舵下，也开展了卓有成效的对话和合作，总体实现了 ,习主席秘鲁巴西之行/中美元首会见现场/习近平会见美国总统拜登,央视新闻的微博视频
P8PYeo0e0,智观风云,True,382604,1015844,“哈里斯的表情说明了一切——眼看奥巴马与特朗普交谈，她简直气得不行！🤣”  美国政治场合总是少不了戏剧性时刻。在#卡特葬礼上美国前总统上演修罗场#，当奥巴马和特朗普相谈甚欢时，副总统哈里斯的一脸复杂表情迅速成了全场焦点。网友纷纷猜测她的内心独白：“我为什么要经历这些？” ,卡特葬礼上美国前总统上演修罗场/哈里斯眼中的特朗普,智观风云的微博视频
P6UZTmiLs,海的日落诗,True,28390,481797,#特朗普要求暂停执行TikTok强制出售令#真会玩，制裁的是你，要求暂停的也是你，给我带来流量，特朗普：让TikTok在美国多运营一段时间 http://t.cn/A6utInqL ,特朗普要求暂停执行TikTok强制出售令,海的日落诗的微博视频
P6fuJcSh3,南归孤夷,True,583269,15566804,郭正亮：我认为美国跟欧洲对中国大陆科技的崛起，已经没有实力去硬刚了#中国##台湾##美国##特朗普##特朗普会比第一任期理性吗# http://t.cn/A6uALb0j ,中国/台湾/美国/特朗普/特朗普会比第一任期理性吗,南归孤夷的微博视频
P5h73v3pI,环球杂志,True,13983647,13324147,#特朗普说美中联手可解决世界上所有问题#【特朗普：美中联手可以解决世界上所有问题】美国当选总统特朗普16日说，美中两国联手可以解决世界上所有问题。 　　特朗普当天在佛罗里达州海湖庄园举行记者会时作出上述表态。 　　“中国和美国可以一起解决世界上所有问题，你想一想，这很重要。”特朗普说。 ,特朗普说美中联手可解决世界上所有问题,环球杂志的微博视频
P8C73bZVL,外贸商老贾,True,393248,7242610,特朗普：哈马斯根本听不懂人话，两星期后人质没回来，他们都得死 http://t.cn/A6uT7Y89 ,,外贸商老贾的微博视频
P5rWFgPeq,金灿荣教授,True,3534207,18286179,特朗普称中美合作可以解决所有问题，他的表态值得肯定，更值得怀疑 http://t.cn/A6meiQZu ,,金灿荣教授的微博视频
P8SIeDirG,徐德智在UN,True,1960070,1862446,This week  we happened to have Panama and Denmark ambassadors in the Security Council. What is their reaction of President-Elect Trump's plan to acquire Greenland and Panama Canal? 巧了，巴拿马和丹麦都是安理会非常任理事国，常驻代表们对特朗普不排除武力获得格陵兰和巴拿马运河有何看 ,一周联合国,徐德智在UN的微博视频
P8BsmuuH0,习五一,True,2741914,29100601,【#特朗普不排除武力控制巴拿马运河格陵兰岛#】当地时间1月7日中午，北京时间今天（1月8日）凌晨，美国当选总统特朗普在海湖庄园举行记者会，就他的一系列政策主张发表讲话。在这场持续了一个多小时的记者会上，特朗普拒绝排除“以军事或经济胁迫手段控制巴拿马运河和格陵兰岛”的可能性，再提“吞并加 ,特朗普不排除武力控制巴拿马运河格陵兰岛/特朗普再提吞并加拿大,CCTV国际时讯的微博视频
P8N2d72OY,独夫之心,True,213582,129168,1、特朗普多次提及吞并加拿大，特鲁多回应绝无可能。特朗普称不排除夺取格陵兰岛控制权，该岛是丹麦自治领地，美国若军事入侵将引发北约内乱。特朗普表示可能夺取巴拿马运河，巴拿马政府重申主权不容侵犯。2、中国推进《全国统一大市场建设指引（试行）》。#独夫之心##微博新知# ,独夫之心/微博新知/特朗普发布吞并加拿大的美国地图,独夫之心的微博视频
P3ttInITi,南归孤夷,True,583269,15566804,这美国也太可怕了，LGBT都进入校园了#美国##特朗普新政# http://t.cn/A6mSRWoY ,美国/特朗普新政,南归孤夷的微博视频
P4Ir3nRjK,南归孤夷,True,583269,15566804,郭正亮：中国什么制度没有用过，台湾民主个头啊，你只有投票那一天有民主#中国##台湾##美国##特朗普新政# http://t.cn/A6mE46p7 ,中国/台湾/美国/特朗普新政,南归孤夷的微博视频
P4HBtoYjm,封起De日子,True,452529,2759780,敲钟后的原声。#特朗普在纽约证券交易所敲钟# 股市，就是一切！ http://t.cn/A6mR30eH ,特朗普在纽约证券交易所敲钟,封起De日子的微博视频
P7GxAsAEw,无心简影,True,1578291,63338530,#美特朗普国际酒店门前汽车爆炸1死7伤#  现在报道开始大夸特斯拉的质量如何好。 拉斯维加斯警方表示： 我必须特别感谢埃隆-马斯克。 他给了我们很多关于车辆爆炸后如何锁定的额外信息，以及能够捕捉到特斯拉充电站的所有视频......  之前执法人员声称，被嫌犯引爆的特斯拉，该车的车身面板为 1.4 毫米 ,美特朗普国际酒店门前汽车爆炸1死7伤,无心简影的微博视频
P8MMfo613,王强老师,True,266611,41232,在我们全产业链对美制裁时，特朗普要拿下格陵兰岛，绝对不是偶然#布林肯回应特朗普格陵兰岛言论# http://t.cn/A6uQi8Bc ,布林肯回应特朗普格陵兰岛言论,王强老师的微博视频
P8XBMtom0,续写蓝精灵的故事,True,154983,634868,#加州山火被曝灭火率为0#加州野火肆虐，特朗普亲自证实消防栓缺水传闻！灭火率当然为0了，水都放到太平洋去了，懂王说就是一场悲剧！[挖鼻] http://t.cn/A6uR0Efi ,加州山火被曝灭火率为0,续写蓝精灵的故事的微博视频
P3TjR6YzK,大弟子Leo,True,423140,3516216,马克龙：还记得这么 特朗普：我记得 马克龙：喝点什么 特朗普：有什么喝什么 马克龙：上可乐  #特朗普马克龙泽连斯基三方会晤#  http://t.cn/A6mpLot7 ,特朗普马克龙泽连斯基三方会晤,大弟子Leo的微博视频
P8xzouenV,大弟子Leo,True,423140,3516216,记者：格陵兰岛和巴拿马运河，你能否向全世界保证，当你试图控制这些地区时，你不会使用军事或经济胁迫手段  特朗普：不 #特朗普不排除武力控制巴拿马运河格陵兰岛# http://t.cn/A6uYMJDP ,特朗普不排除武力控制巴拿马运河格陵兰岛,大弟子Leo的微博视频
P6k9Zd4W3,美爾塞蒂絲,False,100232,472495,老川在Turning Point Action 大會上的演講（下）  12月22日星期日，當選總統唐納德·川普勝選後首場公開演講。在亞利桑那州鳳凰城舉行的的美國節(AmericaFest)活動上  川普確保信守承諾  將簽署一系列歷史性的行政命令  力挺邊境沙皇湯姆·霍曼(Tom Homan)的大規模驅逐行動  只承認兩種性別  駁斥左媒關 ,,美爾塞蒂絲的微博视频
P6jHPFg28,总台环球资讯,True,48685300,45145099,#特朗普还惦记着格陵兰岛#【#特朗普威胁完巴拿马又想要格陵兰岛#】日前，特朗普称“巴拿马运河是美国重要国家资产”。在发表有关威胁言论一天后，特朗普在22日又称，出于国家安全和全球自由的目的，美国认为拥有和控制格陵兰岛是“绝对必要的”。针对这一表态，格陵兰岛自治政府总理回应称，格陵兰岛是 ,特朗普还惦记着格陵兰岛/特朗普威胁完巴拿马又想要格陵兰岛,总台环球资讯的微博视频
P8N7Dc8AM,环球时报,True,31207493,466021298,#墨总统建议北美地区改名#【墨总统建议北美地区更名为墨西哥美洲】针对美国候任总统特朗普1月7日提出将墨西哥湾更名为“美国湾”，墨西哥总统辛鲍姆8日回应称，“墨西哥湾”这一称呼自1607年以来就得到国际社会的认可。辛鲍姆还建议说，北美地区可以根据早期地图上使用的历史名称改叫“墨西哥美洲”。 ,墨总统建议北美地区改名/特朗普称将把墨西哥湾改名美国湾,CCTV国际时讯的微博视频
P8YRAEnqW,CCTV国际时讯,True,1507896,6123726,#特朗普封口费案被判无条件释放#最新消息：当地时间1月10日上午，北京时间今晚，美国候任总统特朗普因“封口费”刑事诉讼被宣判。本案主审法官胡安·梅尔尚在简短在线听证会后判决特朗普“无条件释放”。“无条件释放”意味着特朗普将留有定罪记录，但无需受到监禁、罚金或缓刑处罚。也就是说，10天后， ,特朗普封口费案被判无条件释放/特朗普将以重罪犯身份重返白宫,CCTV国际时讯的微博视频
P8mnkpkuG,南归孤夷,True,583269,15566804,美国学者：我希望台湾人民明白美国不会救台湾 ，只会让台湾走向毁灭#中国##台湾##美国##特朗普# http://t.cn/A6uWjEKL ,中国/台湾/美国/特朗普,南归孤夷的微博视频
P3lQoAZqI,活力的青山松林,False,161563,423947,我只关心特朗普在对华政策方面：特朗普可能会对中国采取更加强硬的贸易政策，除了征收高额关税外，还可能在科技、外交等领域采取一系列措施，给中美关系带来更大的挑战 ！[思考][思考] http://t.cn/A6mahGFY ,,活力的青山松林的微博视频
P6v4M0R7B,南归孤夷,True,583269,15566804,这是希腊前财长对欧美国家的点评：西方世界一直依靠烧杀抢掠强大，文明在哪？ #欧洲##美国##特朗普# http://t.cn/A6uUwzK1 ,欧洲/美国/特朗普,南归孤夷的微博视频
P5iE5u0Oz,南归孤夷,True,583269,15566804,这位外国学者认为美国跟英国一个鸟样，总想保住控制权，为了达到目的，他们就要丑化中国#中国##美国##特朗普# http://t.cn/A6mrRUYX ,中国/美国/特朗普,南归孤夷的微博视频
P8KG8FiWt,张捷观察-谁是谁非任评说,True,2560101,12356570,【张捷杂谈】马斯克怼欧洲，美新总统对欧关系会调整？#微博年度新知博主##张捷杂谈##马斯克站队德国极右翼政党激起众怒# 随着唐纳德·特朗普重返白宫的可能性日益增加，其支持者埃隆·马斯克近期对欧洲多国政府发起猛烈抨击，特别是针对德国和英国。这一系列事件不仅加剧了跨大西洋两岸之间的紧张局势， ,微博年度新知博主/张捷杂谈/马斯克站队德国极右翼政党激起众怒,张捷观察-谁是谁非任评说的微博视频
P6kY466Lj,国际在线新闻,True,6001361,4105058,特朗普长女伊万卡宣布永久退出政坛视频公布#美媒爆特朗普女儿伊万卡不会重返政坛##伊万卡永久退出政坛# http://t.cn/A6uAsP6x ,美媒爆特朗普女儿伊万卡不会重返政坛/伊万卡永久退出政坛,国际在线新闻的微博视频
P8JJ4EqAw,澎湃新闻,True,32644629,572521008,【他公开威胁夺岛收河，#美国版图扩张是怎样的黑历史#?】#美国版图扩张黑历史#最近，美国候任总统特朗普没少打别国的主意，甚至称不排除武力控制巴拿马运河和格陵兰岛，如此直白地把对别国领土的觊觎挂在嘴边，很难不让人联想到美国劣迹斑斑的扩张史。 http://t.cn/A6uHYQL1 ,美国版图扩张是怎样的黑历史/美国版图扩张黑历史/布林肯批特朗普涉格陵兰岛言论不切实际,澎湃新闻的微博视频
P8MIoiKbu,孤傲的狂生,True,238926,6002809,#特朗普新政##热门视频#  加拿大新民主党领导人：特朗普的行为象一个网络喷子 http://t.cn/A6uQibGD ,特朗普新政/热门视频,孤傲的狂生的微博视频
P8OQDEHXz,马上谈,True,477039,23965514,#加州州长给总统打了5个电话都没打通# 怪不得刚刚特朗普答记者问：加州火灾完全是人祸，格陵兰岛很欢迎并入美国，巴拿马运河是美国开建、一美元转让，如今却是中国运营，对美军收取高额通行费！中国运营？难道川宝说的是李嘉诚？[笑cry]  #从太空看洛杉矶山火# http://t.cn/A6uQDMJS ,加州州长给总统打了5个电话都没打通/从太空看洛杉矶山火,马上谈的微博视频
P8zA6ziTF,CCTV国际时讯,True,1507896,6123726,#特朗普不排除武力控制巴拿马运河格陵兰岛#当地时间1月7日中午，北京时间今天（1月8日）凌晨，美国当选总统特朗普在海湖庄园举行记者会，就他的一系列政策主张发表讲话。在这场持续了一个多小时的记者会上，特朗普拒绝排除“以军事或经济胁迫手段控制巴拿马运河和格陵兰岛”的可能性，再提“吞并加拿大 ,特朗普不排除武力控制巴拿马运河格陵兰岛/特朗普再提吞并加拿大,CCTV国际时讯的微博视频
P8EO22x3o,黄智贤星球,True,1846307,13692645,抢就完了！没有人比川普更懂“开疆拓土” #特朗普不排除武力控制巴拿马运河格陵兰岛##特朗普发地图将加拿大标为美国##黄智贤夜问# http://t.cn/A6uTekcY ,特朗普不排除武力控制巴拿马运河格陵兰岛/特朗普发地图将加拿大标为美国/黄智贤夜问,黄智贤星球的微博视频
P81lJvGy0,南归孤夷,True,583269,15566804,这位美国士兵被逼至妻离子散，他发视频揭露美国的真相，直言政客只是把美国人民当作牲口，还呼吁美国同胞应该为恐怖袭击做好准备#美国##特朗普# http://t.cn/A6uCmq7V ,美国/特朗普,南归孤夷的微博视频
P7gMa4B4o,吕宁思,True,853335,609592,#特朗普# 特朗普有权废止出生公民权吗？他面临巨大法律挑战和实际操作难题#v评智库# #微博新知# http://t.cn/A6uMfIY6 ,特朗普/v评智库/微博新知,吕宁思的微博视频
P8CuFjw49,童鞋的利剑_777,False,221345,1041612,美国湾！  普通人无法理解的是，过去 8 年欧盟君主的垮台——皇室蜥蜴、罗斯柴尔德家族、奥兰治家族、黑色贵族、黑太阳、梵蒂冈、耶稣会、犹太复国主义者等。在消除这些寄生实体（著名的特朗普投降之旅2017）之后，各国将再次重新安排。所有旧皇室统治下的国家都将被解放。这就是为什么在特朗普公开就 ,,童鞋的利剑_777的微博视频
P8BshFcf1,波士顿圆脸,True,567926,167791,AP：哈里斯宣布特朗普当选第47任美国总统#微博新知##美国##哈里斯宣布特朗普当选第47任美国总统# http://t.cn/A6uYghhJ ,微博新知/美国/哈里斯宣布特朗普当选第47任美国总统,波士顿圆脸的微博视频
P5gRSFhRI,忠贞不渝艾吉奥,True,2454636,208914459,#特朗普说美中联手可解决世界上所有问题#  特朗普亲口表示：“如果中国与美国联手，世界上的所有问题都将迎刃而解。” http://t.cn/A6mrwhyQ ,特朗普说美中联手可解决世界上所有问题,忠贞不渝艾吉奥的微博视频
P8wUbm00N,南归孤夷,True,583269,15566804,蔡正元：你说大陆经济不好，问题是成长率还有5%，美国经济很好，成长率只有3%，这是在挑战我的数学，你要知道美国的穷人几乎翻倍啊#中国##台湾##美国##特朗普# http://t.cn/A6uYbB2I ,中国/台湾/美国/特朗普,南归孤夷的微博视频
P8Zj6Ah70,金陵布衣JLBY,True,149015,921138,沈大佬说，如果特朗普买不到格陵兰岛，台湾可以考虑把绿岛卖给美国，这样就是你中有我，我中有它，台海绝对和平。  #微博跨域计划##演员边境失联##美国山火# http://t.cn/A6uE2sxv ,微博跨域计划/演员边境失联/美国山火,金陵布衣JLBY的微博视频
P6Ugwf4iK,续写蓝精灵的故事,True,154982,634870,#特朗普要求暂停执行TikTok强制出售令#12月22日，特朗普表示赞成TikTok继续在美运营！川普也是TikTok的老粉丝了[思考]网友:难怪刷抖音会上头，根本停不下来[笑cry] #字节跳动明确表示不会出售TikTok#http://t.cn/A6utbKbw ,特朗普要求暂停执行TikTok强制出售令/字节跳动明确表示不会出售TikTok,续写蓝精灵的故事的微博视频
P8A68Axnt,包容万物恒河水,True,972965,85959790,🔻特朗普表示，他理解俄罗斯为何不希望乌克兰加入北约，并将乌克兰战争归咎于乔·拜登。 🔻“俄罗斯多年来一直表示，绝不能让北约介入乌克兰。这就像是刻在石头上一样。而拜登则表示，他们应该能够加入北约。然后俄罗斯发现在他们的门口多了某个人。我能理解他们对此的感受。” 🔻懂了，特朗普这 ,,包容万物恒河水的微博视频
P6Fdv8oMl,刘扬声Charles,True,189781,79081,特朗普还没正式就任，一些列针对中国的招数已经亮出来了，但中国人有个特点，闷声干大事，我们怎么拆招，值得期待。#中美战略博弈是一场持久战##中方回应特朗普所谓60%关税##刘扬声# http://t.cn/A6ubRlQV ,中美战略博弈是一场持久战/中方回应特朗普所谓60%关税/刘扬声,刘扬声Charles的微博视频
P8TUio0pA,今日俄罗斯RT,True,1968223,24552136,【#特朗普谈与俄中领导人举行三方会晤的可能性#】当地时间1月9日，美国当选总统特朗普在海湖庄园举行的记者会上谈及他与俄中领导人举行三方会晤的可能性。 http://t.cn/A6u8OzEd ,特朗普谈与俄中领导人举行三方会晤的可能性,今日俄罗斯RT的微博视频
P8PRfs11t,Houson猴姆,True,8853342,142827985,噗～～#特朗普#和#奥巴马#在吉米卡特葬礼上微笑交流！这松弛感……🤣😆 http://t.cn/A6u8ybtn ,特朗普/奥巴马,Houson猴姆的微博视频
P6XD1A4lb,金灿荣教授,True,3534207,18286181,#特朗普就职后俄乌局势将如何演变# 俄乌冲突，出现一个“诡异”现象 http://t.cn/A6utFcDW ,特朗普就职后俄乌局势将如何演变,金灿荣教授的微博视频
P8PDbdT6f,长征后卫薛伯陵,True,9178503,4770186,韩裔主播外网直播遭遇各种攻击和歧视，这里就是文明礼貌的西方么[doge]#特朗普##特朗普再发美版新地图# http://t.cn/A6u8AJeC ,特朗普/特朗普再发美版新地图,长征后卫薛伯陵的微博视频
P50tVdpQO,王炳忠_台灣,True,849240,2623170,台湾只是笔尖 大陆才是桌子 特朗普谈判学加速卖台#v评智库# http://t.cn/A6muONE8 ,v评智库,王炳忠_台灣的微博视频
P8FaVB8gT,连线记者,True,1790634,3191221,#加拿大执政党发布地图回击特朗普#【美加战争】1812年，美国攻打加拿大，反被加国打得总统外逃，白宫被烧！    美加战争，标志着美国独立后首次对外发动的军事冲突。      1812年初，美国陆军部拟定了夺取英国殖民地加拿大的战略计划。当时英国正在欧洲与法国的拿破仑开打。英国在北美洲的军队数量不足 ,加拿大执政党发布地图回击特朗普/加拿大执政党发布标明美加国界线地图,连线记者的微博视频
P6nXIvMli,品茶说酒,True,174540,1350966,特朗普磨刀霍霍，套不上近乎的石破茂，找中国解决悬而未决的问题！  24日我国外交部发言人毛宁宣布，日本外相岩屋毅将于12月25日应邀访问中国，并将与中共中央政治局委员、外交部长王毅举行会谈。  同一时间，日本外务省也发布了岩屋毅即将访问中国的新闻稿。岩屋毅此次访华之行为期2天，除了与王毅外 ,日本外相岩屋毅将访问中国,品茶说酒的微博视频
P8X6F5KEo,仰望弗洛伊德,True,192114,726340,唐湘龙先生评特朗普开疆拓土，在座嘉宾满脸死灰：春秋时代已过 战国时代到来！像台湾这样国际社会公认的中国一部分，你连讲话的机会都没有！  #特朗普发地图将加拿大标为美国##特朗普称不排除军事夺取格陵兰岛控制权##特朗普放狠话暴露了怎样的执政思路##台湾##台湾[超话]##台海局势#  ,特朗普发地图将加拿大标为美国/特朗普称不排除军事夺取格陵兰岛控制权/特朗普放狠话暴露了怎样的执政思路/台湾/台海局势,仰望弗洛伊德的微博视频
